Horizon,Region,rep,time,MB_C,MB_N,%TOC
L,GC,1,T0,13289,1743,50.2
L,GC,2,T0,13694,1586,50.1
L,GC,3,T0,14975,-74,50.1
F,GC,1,T0,5301,1181,49.6
F,GC,2,T0,5078,-656,49.1
F,GC,3,T0,5007,1311,49.0
H,GC,1,T0,3641,888,46.4
H,GC,2,T0,3685,1110,46.5
H,GC,3,T0,3854,1293,47.8
B,GC,1,T0,-5,68,
B,GC,2,T0,22,50,
B,GC,3,T0,-4,61,
L,ER,1,T0,18155,1708,48.8
L,ER,2,T0,16964,1644,49.3
L,ER,3,T0,15360,1153,48.0
F,ER,1,T0,4955,981,48.5
F,ER,2,T0,8343,2154,47.9
F,ER,3,T0,7007,1167,46.0
H,ER,1,T0,4178,912,47.3
H,ER,2,T0,5537,1441,46.1
H,ER,3,T0,5325,1254,44.7
B,ER,1,T0,-186,12,
B,ER,2,T0,-125,46,
B,ER,3,T0,-230,39,
